Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772681631.210,30.7,15.9,166.94,1.912,0.0
1772681631.250,25.0,16.9,166.97,0.031,0.0
1772681631.278,35.3,16.0,169.10,2.124,0.0
1772681631.317,26.2,17.0,169.76,0.665,0.0
1772681631.345,34.6,16.0,167.71,2.057,0.0
1772681631.378,30.5,15.8,169.16,1.455,0.0
1772681631.418,25.1,16.1,169.02,0.136,0.0
1772681631.444,39.1,16.3,166.30,2.726,0.0
1772681631.477,30.0,16.2,170.03,3.732,0.0
1772681631.513,28.0,16.0,166.46,3.568,0.0
1772681631.544,31.8,16.1,167.46,0.995,0.0
1772681631.584,24.9,16.9,166.50,0.958,0.0
1772681631.611,37.5,17.3,168.35,1.848,0.0
1772681631.646,28.3,17.2,167.22,1.125,0.0
1772681631.687,24.8,16.7,167.02,0.208,0.0
1772681631.709,44.6,16.4,167.46,0.446,0.0
1772681631.754,22.4,22.9,167.31,0.147,0.0
1772681631.779,39.1,18.4,168.30,0.986,0.0
1772681631.815,28.3,18.4,170.37,2.073,0.0
1772681631.860,22.1,20.8,169.84,0.533,0.0
1772681631.888,35.6,20.9,169.95,0.114,0.0
1772681631.925,27.5,20.0,170.53,0.575,0.0
1772681631.954,34.0,21.5,168.09,2.434,0.0
1772681631.982,35.1,21.3,167.90,0.193,0.0
1772681632.020,26.3,21.3,169.78,1.881,0.0
1772681632.050,33.5,20.6,168.85,0.934,0.0
1772681632.087,27.2,21.1,167.70,1.145,0.0
1772681632.116,34.5,20.8,168.98,1.277,0.0
1772681632.149,30.1,21.2,169.19,0.213,0.0
1772681632.186,27.4,21.6,167.81,1.383,0.0
1772681632.224,26.5,20.7,167.31,0.497,0.0
1772681632.256,31.0,23.2,168.24,0.929,0.0
1772681632.287,31.7,23.6,165.47,2.773,0.0
1772681632.324,27.6,27.4,165.85,0.384,0.0
1772681632.356,30.8,23.5,164.50,1.356,0.0
1772681632.386,33.9,22.4,169.08,4.586,0.0
1772681632.416,33.1,17.1,165.35,3.729,0.0
1772681632.444,35.1,16.4,164.49,0.866,0.0
1772681632.483,25.5,16.7,0.00,0.000,0.0
1772681632.515,31.4,16.3,166.10,1.612,0.0
1772681632.543,36.1,16.5,164.72,1.379,0.0
1772681632.588,22.1,17.5,166.13,1.405,0.0
1772681632.612,41.4,17.3,164.37,1.759,0.0
1772681632.651,26.1,18.7,165.63,1.266,0.0
1772681632.678,36.1,17.3,164.93,0.700,0.0
1772681632.712,29.6,16.9,164.56,0.369,0.0
1772681632.746,29.4,16.5,163.82,0.745,0.0
1772681632.787,24.6,16.8,164.59,0.772,0.0
1772681632.817,32.8,16.8,163.40,1.191,0.0
1772681632.844,37.4,16.7,163.34,0.060,0.0
1772681632.886,23.5,17.2,164.97,1.629,0.0
1772681632.913,38.3,16.9,162.85,2.121,0.0
1772681632.948,28.0,15.1,161.92,0.924,0.0
1772681632.996,21.1,16.3,163.59,1.668,0.0
1772681633.018,44.8,16.2,169.62,6.030,0.0
1772681633.044,37.8,15.5,163.35,6.271,0.0
1772681633.081,27.6,15.7,165.35,2.005,0.0
1772681633.110,33.9,16.3,162.99,2.361,0.0
1772681633.158,20.7,16.0,164.46,1.463,0.0
1772681633.183,41.0,15.9,162.35,2.108,0.0
1772681633.218,28.5,17.9,164.32,1.976,0.0
1772681633.253,28.3,17.7,165.08,0.753,0.0
1772681633.279,38.9,17.7,163.92,1.155,0.0
1772681633.324,22.1,18.8,164.90,0.979,0.0
1772681633.349,40.9,18.2,164.36,0.538,0.0
1772681633.379,33.0,17.7,164.58,0.216,0.0
1772681633.416,26.7,17.9,163.96,0.616,0.0
1772681633.444,35.7,16.6,162.12,1.845,0.0
1772681633.484,25.5,16.7,163.47,1.355,0.0
1772681633.513,34.1,16.3,165.54,2.067,0.0
1772681633.546,30.2,17.0,164.25,1.285,0.0
1772681633.582,27.6,18.9,165.12,0.866,0.0
1772681633.613,32.9,18.3,163.72,1.402,0.0
