Timestamp,FPS,Angle
1773392167.504,11.8,88.91
1773392167.591,11.5,89.10
1773392167.678,11.5,89.19
1773392167.756,12.8,88.95
1773392167.839,12.0,89.15
1773392167.924,11.7,89.21
1773392168.009,11.8,89.92
1773392168.097,11.4,91.17
1773392168.170,13.8,92.03
1773392168.238,14.5,92.21
1773392168.307,14.7,92.30
1773392168.373,15.1,93.36
1773392168.450,12.9,94.85
1773392168.533,12.0,91.63
1773392168.601,14.7,92.83
1773392168.668,15.1,91.18
1773392168.734,15.1,91.19
1773392168.802,14.7,90.77
1773392168.872,14.3,89.56
1773392168.941,14.4,90.08
1773392169.011,14.4,90.93
1773392169.079,14.6,91.33
1773392169.146,15.0,91.08
1773392169.213,15.0,92.45
1773392169.282,14.4,91.02
1773392169.351,14.5,90.39
1773392169.419,14.8,89.33
1773392169.489,14.4,91.29
1773392169.566,12.8,91.34
1773392169.647,12.4,92.42
1773392169.728,12.4,91.95
1773392169.808,12.5,90.08
1773392169.893,11.7,91.26
1773392169.967,13.6,90.89
1773392170.038,14.1,90.81
1773392170.108,14.3,91.63
1773392170.178,14.2,92.19
1773392170.248,14.2,91.88
1773392170.319,14.1,92.46
1773392170.387,14.7,91.52
1773392170.458,14.1,92.54
1773392170.535,13.1,91.83
1773392170.612,13.0,91.30
1773392170.683,14.2,90.50
1773392170.761,12.7,90.80
1773392170.844,12.0,91.18
1773392170.929,11.8,90.87
1773392171.013,11.9,89.73
1773392171.097,11.9,88.01
1773392171.201,9.6,86.30
1773392171.273,13.9,84.51
1773392171.342,14.6,84.63
1773392171.410,14.6,85.08
1773392171.481,14.1,82.81
1773392171.550,14.4,86.12
1773392171.631,12.4,83.50
1773392171.713,12.2,84.28
1773392171.799,11.6,84.19
1773392171.886,11.5,85.11
1773392171.972,11.6,84.02
1773392172.060,11.4,86.19
1773392172.147,11.4,86.73
1773392172.233,11.6,87.88
1773392172.319,11.7,86.65
1773392172.405,11.6,86.55
1773392172.493,11.4,85.21
1773392172.577,12.0,87.22
1773392172.661,11.9,86.10
1773392172.737,13.1,86.23
1773392172.812,13.3,86.46
1773392172.888,13.1,86.51
1773392172.972,12.0,86.88
1773392173.045,13.7,86.57
1773392173.115,14.3,85.90
1773392173.196,12.2,84.83
1773392173.318,8.3,86.60
1773392173.402,11.9,85.65
1773392173.486,11.8,86.51
1773392173.562,13.2,85.27
1773392173.635,13.7,86.45
1773392173.712,13.1,87.39
1773392173.786,13.3,86.36
1773392173.861,13.4,85.92
1773392173.963,9.8,87.54
1773392174.047,11.9,86.33
1773392174.136,11.3,86.72
1773392174.221,11.7,86.80
1773392174.307,11.6,86.44
1773392174.382,13.4,88.57
1773392174.455,13.7,85.88
1773392174.529,13.6,87.56
1773392174.608,12.6,86.87
1773392174.684,13.2,87.59
1773392174.760,13.1,86.15
1773392174.843,12.0,86.05
1773392174.930,11.5,86.46
1773392175.009,12.7,87.60
1773392175.085,13.2,87.27
1773392175.161,13.2,86.94
1773392175.252,11.0,87.52
1773392175.337,11.8,87.22
1773392175.423,11.6,87.26
1773392175.509,11.6,87.21
1773392175.585,13.1,87.45
1773392175.659,13.6,86.56
1773392175.732,13.7,86.99
1773392175.805,13.6,87.04
1773392175.880,13.5,85.67
1773392175.955,13.3,84.66
1773392176.028,13.7,84.21
1773392176.100,13.8,83.96
1773392176.215,8.7,84.39
1773392176.302,11.5,85.38
1773392176.390,11.3,84.29
1773392176.474,11.9,85.40
1773392176.558,11.9,84.45
1773392176.636,12.8,85.80
1773392176.712,13.2,85.04
1773392176.788,13.3,86.58
1773392176.863,13.2,85.40
1773392176.932,14.6,87.04
1773392177.014,12.1,86.67
1773392177.083,14.6,87.20
1773392177.152,14.6,86.68
1773392177.221,14.4,85.77
1773392177.287,15.1,86.85
1773392177.365,12.9,85.98
1773392177.445,12.5,86.07
1773392177.521,13.2,86.77
1773392177.593,13.9,85.90
1773392177.674,12.4,86.79
1773392177.762,11.3,87.59
1773392177.838,13.2,87.46
1773392177.908,14.2,87.85
1773392177.989,12.5,87.89
1773392178.071,12.1,87.61
1773392178.153,12.2,88.42
1773392178.233,12.4,87.81
1773392178.324,11.0,87.63
1773392178.409,11.8,86.51
1773392178.485,13.2,89.82
1773392178.559,13.5,89.60
1773392178.632,13.6,94.22
1773392178.705,13.8,100.59
1773392178.777,13.8,108.11
1773392178.858,12.3,112.57
1773392178.944,11.7,125.64
1773392179.029,11.7,131.22
1773392179.112,12.0,140.95
1773392179.196,11.9,149.15
1773392179.280,12.0,155.86
1773392179.366,11.7,159.60
1773392179.451,11.8,160.86
1773392179.537,11.6,162.42
1773392179.622,11.8,163.35
1773392179.708,11.7,167.82
1773392179.787,12.6,169.65
1773392179.873,11.7,171.85
1773392179.959,11.6,174.31
1773392180.045,11.7,174.76
1773392180.127,12.2,174.79
1773392180.214,11.5,174.05
1773392180.301,11.5,173.44
1773392180.388,11.6,171.01
1773392180.476,11.4,168.71
1773392180.564,11.3,166.40
1773392180.640,13.3,163.25
1773392180.714,13.4,163.78
1773392180.787,13.7,160.95
1773392180.861,13.5,158.34
1773392180.932,14.2,148.45
1773392181.031,10.1,134.81
1773392181.128,10.3,120.55
1773392181.198,14.2,103.65
1773392181.267,14.5,91.97
1773392181.338,14.1,85.93
1773392181.435,10.3,77.95
1773392181.530,10.5,73.10
1773392181.636,9.5,69.99
1773392181.758,8.2,67.31
1773392181.841,12.1,69.02
1773392181.922,12.4,68.01
1773392182.003,12.3,70.32
1773392182.088,11.8,73.21
1773392182.171,12.0,73.35
1773392182.253,12.1,76.88
1773392182.337,11.9,79.87
1773392182.421,12.0,86.60
1773392182.505,11.9,92.65
1773392182.588,12.1,104.54
1773392182.671,12.0,116.45
1773392182.754,12.1,132.16
1773392182.835,12.3,140.12
1773392182.918,12.1,152.98
1773392182.999,12.3,155.46
1773392183.086,11.6,161.01
1773392183.173,11.5,162.76
1773392183.250,12.9,164.49
1773392183.323,13.7,165.89
1773392183.399,13.1,168.97
1773392183.477,12.9,170.33
1773392183.562,11.7,173.54
1773392183.649,11.5,174.75
1773392183.735,11.6,175.27
1773392183.823,11.5,174.64
1773392183.910,11.5,173.81
1773392183.983,13.6,170.82
1773392184.068,11.8,170.18
1773392184.180,8.9,166.65
1773392184.264,11.9,167.44
1773392184.335,14.0,163.61
1773392184.432,10.3,161.10
1773392184.527,10.5,151.98
1773392184.598,14.2,137.45
1773392184.668,14.2,126.23
1773392184.786,8.5,115.19
1773392184.875,11.2,98.57
1773392184.965,11.1,85.22
1773392185.094,7.8,76.55
1773392185.185,11.0,72.15
1773392185.276,10.9,70.45
1773392185.368,10.9,72.16
1773392185.446,12.8,71.48
1773392185.522,13.2,74.21
1773392185.597,13.3,74.67
1773392185.673,13.1,86.32
1773392185.756,12.1,95.96
1773392185.840,11.9,106.29
1773392185.924,11.9,120.79
1773392186.008,11.9,131.34
1773392186.095,11.5,142.62
1773392186.180,11.7,152.48
1773392186.268,11.4,160.45
1773392186.367,10.1,166.49
1773392186.455,11.4,168.62
1773392186.542,11.5,169.40
1773392186.627,11.7,170.94
1773392186.713,11.6,174.09
1773392186.804,11.0,175.98
1773392186.881,13.0,176.23
1773392186.955,13.5,175.43
1773392187.029,13.5,174.98
1773392187.104,13.3,174.32
1773392187.180,13.2,173.22
1773392187.264,11.9,170.38
1773392187.352,11.4,168.10
1773392187.427,13.2,168.71
1773392187.502,13.4,167.18
1773392187.577,13.4,163.24
1773392187.650,13.7,159.42
1773392187.734,11.9,153.12
1773392187.822,11.3,137.51
1773392187.912,11.2,128.45
1773392187.983,14.0,110.88
1773392188.053,14.3,98.71
1773392188.134,12.3,88.27
1773392188.218,12.0,74.63
1773392188.303,11.7,71.79
1773392188.421,8.5,66.59
1773392188.495,13.6,65.49
1773392188.568,13.6,65.82
1773392188.642,13.5,67.73
1773392188.726,11.9,71.61
1773392188.812,11.6,73.65
1773392188.899,11.5,79.10
1773392188.974,13.5,90.71
1773392189.048,13.4,100.32
1773392189.121,13.7,113.76
1773392189.205,11.9,124.13
1773392189.292,11.5,139.00
1773392189.393,9.9,150.25
1773392189.483,11.1,158.48
1773392189.572,11.2,163.75
1773392189.658,11.6,165.65
1773392189.745,11.6,165.68
1773392189.830,11.7,169.84
1773392189.916,11.6,170.89
1773392190.004,11.3,173.95
1773392190.105,9.9,172.74
1773392190.189,11.9,171.65
1773392190.277,11.4,172.54
1773392190.365,11.3,170.63
1773392190.454,11.3,170.11
1773392190.543,11.3,168.45
1773392190.635,10.9,168.65
1773392190.727,10.9,168.44
1773392190.818,11.0,166.52
1773392190.908,11.0,162.57
1773392190.997,11.3,156.43
1773392191.088,11.1,149.46
1773392191.180,10.8,135.32
1773392191.272,10.8,123.39
1773392191.404,7.6,115.82
1773392191.484,12.4,92.04
1773392191.575,11.1,86.83
1773392191.664,11.2,76.52
1773392191.745,12.3,74.79
1773392191.832,11.4,73.01
1773392191.920,11.3,73.18
1773392192.012,11.0,73.52
1773392192.091,12.6,74.16
1773392192.167,13.1,75.29
1773392192.246,12.7,76.48
1773392192.327,12.3,84.99
1773392192.406,12.7,90.14
1773392192.495,11.3,104.57
1773392192.586,10.9,118.91
1773392192.678,10.8,125.58
1773392192.771,10.8,136.11
1773392192.863,10.8,145.90
1773392192.955,10.9,151.52
1773392193.046,11.0,157.46
1773392193.136,11.0,161.80
1773392193.225,11.2,164.60
1773392193.316,11.0,166.91
1773392193.407,11.0,168.33
1773392193.497,11.1,168.57
1773392193.577,12.4,169.27
1773392193.665,11.4,169.03
1773392193.756,10.9,168.94
1773392193.848,11.0,168.47
1773392193.939,10.9,168.03
1773392194.031,11.0,166.97
1773392194.121,11.1,163.65
1773392194.211,11.1,159.38
1773392194.300,11.2,151.93
1773392194.391,11.0,144.50
1773392194.481,11.1,135.59
1773392194.571,11.1,124.17
1773392194.662,11.0,107.12
1773392194.752,11.1,94.83
1773392194.842,11.1,80.58
1773392194.932,11.1,74.16
1773392195.010,12.9,67.45
1773392195.083,13.6,63.68
1773392195.157,13.6,61.14
1773392195.229,13.9,61.91
1773392195.304,13.4,64.01
1773392195.380,13.2,65.56
1773392195.456,13.1,71.51
1773392195.531,13.4,75.12
1773392195.606,13.3,79.78
1773392195.691,11.7,90.47
1773392195.776,11.7,98.89
1773392195.861,11.8,112.89
