Timestamp,FPS,Angle
1773392443.999,0.5,169.05
1773392444.113,8.7,168.22
1773392444.158,22.2,168.57
1773392444.198,25.0,168.86
1773392444.239,24.6,168.63
1773392444.278,25.7,168.66
1773392444.315,26.8,168.75
1773392444.351,27.7,168.63
1773392444.399,21.0,168.94
1773392444.442,22.8,168.81
1773392444.481,25.9,168.65
1773392444.529,20.8,168.79
1773392444.571,23.6,169.18
1773392444.613,24.1,168.92
1773392444.652,25.3,168.93
1773392444.700,20.9,168.74
1773392444.752,19.1,169.16
1773392444.796,23.0,168.89
1773392444.846,19.8,168.76
1773392444.892,22.2,169.01
1773392444.932,24.8,168.94
1773392444.973,24.6,168.87
1773392445.022,20.2,168.85
1773392445.065,23.4,169.07
1773392445.106,24.5,169.04
1773392445.149,23.1,168.76
1773392445.190,24.4,168.89
1773392445.239,20.4,168.93
1773392445.290,19.5,168.83
1773392445.330,25.2,168.93
1773392445.368,26.2,168.91
1773392445.405,26.8,168.86
1773392445.443,26.3,169.12
1773392445.480,27.0,169.02
1773392445.518,26.7,168.83
1773392445.556,26.4,168.80
1773392445.596,24.9,168.90
1773392445.647,19.6,168.89
1773392445.686,25.6,168.84
1773392445.723,26.6,169.03
1773392445.772,20.4,168.77
1773392445.813,24.5,168.75
1773392445.851,26.4,168.88
1773392445.890,25.7,168.79
1773392445.942,19.3,168.86
1773392445.987,22.3,168.70
1773392446.039,19.2,168.77
1773392446.084,22.4,169.05
1773392446.123,25.6,168.66
1773392446.161,26.0,168.75
1773392446.199,26.6,168.83
1773392446.240,24.1,168.89
1773392446.279,26.0,168.58
1773392446.329,19.8,168.69
1773392446.391,16.3,168.55
1773392446.443,19.0,168.90
1773392446.496,19.0,168.82
1773392446.549,18.8,168.79
1773392446.605,18.1,168.87
1773392446.662,17.3,168.76
1773392446.707,22.5,168.64
1773392446.749,23.8,168.57
1773392446.790,24.5,168.61
1773392446.840,19.9,168.66
1773392446.883,23.4,168.64
1773392446.923,24.6,168.50
1773392446.966,23.3,168.22
1773392447.019,19.1,168.45
1773392447.070,19.3,168.45
1773392447.123,19.2,168.48
1773392447.175,19.1,168.16
1773392447.226,19.5,168.72
1773392447.278,19.2,168.54
1773392447.330,19.5,168.64
1773392447.381,19.3,168.96
1773392447.430,20.4,169.62
1773392447.479,20.7,170.08
1773392447.519,24.9,170.62
1773392447.559,24.6,171.08
1773392447.601,23.7,170.99
1773392447.641,25.4,171.03
1773392447.682,24.6,171.40
1773392447.724,23.8,171.56
1773392447.764,24.5,171.56
1773392447.814,20.1,171.75
1773392447.866,19.4,172.06
1773392447.917,19.4,172.90
1773392447.972,18.2,173.13
1773392448.026,18.7,173.86
1773392448.071,22.2,172.25
1773392448.121,19.9,169.80
1773392448.173,19.1,166.96
1773392448.224,19.7,162.54
1773392448.276,19.3,156.62
1773392448.321,22.2,152.20
1773392448.362,24.4,151.13
1773392448.402,25.0,131.75
1773392448.453,19.4,123.86
1773392448.500,21.6,119.21
1773392448.545,21.9,106.44
1773392448.596,19.8,101.95
1773392448.640,22.7,90.04
1773392448.679,25.7,83.80
1773392448.717,26.0,79.11
1773392448.757,25.4,78.40
1773392448.797,25.0,76.69
