Timestamp,FPS,Angle
1773392557.080,0.5,169.12
1773392557.217,7.3,169.19
1773392557.303,11.7,169.62
1773392557.390,11.5,169.43
1773392557.468,12.8,169.30
1773392557.543,13.2,169.41
1773392557.627,11.9,169.29
1773392557.707,12.6,169.63
1773392557.784,13.0,169.39
1773392557.870,11.6,169.48
1773392557.959,11.1,169.39
1773392558.089,7.7,169.37
1773392558.177,11.5,169.56
1773392558.257,12.5,169.57
1773392558.333,13.1,169.30
1773392558.410,13.0,169.33
1773392558.486,13.1,168.88
1773392558.562,13.1,169.33
1773392558.638,13.1,169.04
1773392558.715,13.1,169.22
1773392558.792,13.0,169.45
1773392558.868,13.2,169.34
1773392558.944,13.0,169.22
1773392559.021,13.0,169.30
1773392559.096,13.3,169.47
1773392559.170,13.5,169.36
1773392559.244,13.5,169.28
1773392559.318,13.6,169.35
1773392559.392,13.6,169.57
1773392559.465,13.7,169.38
1773392559.537,13.8,169.37
1773392559.610,13.7,169.51
1773392559.686,13.1,169.30
1773392559.809,8.1,169.37
1773392559.907,10.2,169.14
1773392559.989,12.2,169.32
1773392560.066,12.9,169.33
1773392560.145,12.7,169.27
1773392560.235,11.2,169.11
1773392560.319,11.8,169.32
1773392560.400,12.3,169.06
1773392560.480,12.5,169.19
1773392560.570,11.2,168.99
1773392560.649,12.6,169.04
1773392560.734,11.8,169.09
1773392560.822,11.4,169.22
1773392560.923,9.9,169.39
1773392561.005,12.1,169.43
1773392561.091,11.6,169.43
1773392561.171,12.5,169.38
1773392561.248,12.9,169.73
1773392561.337,11.2,169.24
1773392561.418,12.5,169.57
1773392561.507,11.2,169.43
1773392561.599,10.8,169.35
1773392561.682,12.1,169.69
1773392561.763,12.3,169.75
1773392561.853,11.1,169.51
1773392561.936,12.0,169.45
1773392562.017,12.3,169.42
1773392562.100,12.2,169.56
1773392562.181,12.3,169.51
1773392562.262,12.4,169.57
1773392562.350,11.3,169.40
1773392562.440,11.1,169.46
1773392562.527,11.6,169.67
1773392562.608,12.3,169.86
1773392562.689,12.4,169.48
1773392562.768,12.6,169.57
1773392562.848,12.6,169.48
1773392562.927,12.6,169.44
1773392563.007,12.6,169.52
1773392563.085,12.7,169.59
1773392563.166,12.4,169.49
1773392563.247,12.4,169.68
1773392563.327,12.4,169.71
1773392563.407,12.5,169.32
1773392563.484,13.0,168.85
1773392563.571,11.5,168.92
1773392563.650,12.7,169.28
1773392563.737,11.5,169.27
1773392563.828,10.9,168.72
1773392563.920,11.0,169.02
1773392564.010,11.1,168.88
1773392564.091,12.3,169.39
1773392564.179,11.3,169.23
1773392564.269,11.1,169.17
1773392564.352,11.9,169.12
1773392564.442,11.2,169.68
1773392564.521,12.6,169.63
1773392564.609,11.4,170.05
1773392564.690,12.3,171.69
1773392564.769,12.6,172.06
1773392564.848,12.6,171.35
1773392564.926,12.9,171.91
1773392565.005,12.6,171.85
1773392565.084,12.7,172.19
1773392565.163,12.7,171.64
1773392565.250,11.4,173.65
1773392565.334,12.0,168.76
1773392565.423,11.3,162.80
1773392565.514,10.9,157.31
1773392565.603,11.3,137.33
1773392565.684,12.3,116.49
1773392565.760,13.2,104.20
1773392565.834,13.4,92.14
1773392565.907,13.7,81.98
1773392565.984,13.0,76.01
1773392566.061,13.0,75.76
1773392566.137,13.2,76.25
1773392566.213,13.1,77.34
1773392566.290,12.9,77.74
1773392566.364,13.6,78.95
1773392566.438,13.4,79.06
1773392566.514,13.3,81.95
1773392566.590,13.2,86.72
1773392566.663,13.6,93.06
1773392566.765,9.8,100.64
1773392566.840,13.4,105.75
1773392566.914,13.5,109.21
1773392566.988,13.5,108.22
1773392567.063,13.4,107.11
1773392567.185,8.2,106.54
1773392567.278,10.8,107.60
1773392567.368,11.0,106.44
1773392567.449,12.5,105.40
1773392567.526,12.9,106.14
1773392567.604,12.9,103.54
1773392567.681,12.9,97.75
1773392567.759,12.9,96.20
1773392567.836,12.9,96.54
1773392567.914,12.8,95.58
1773392567.992,12.9,93.85
1773392568.071,12.7,91.67
1773392568.189,8.5,94.19
1773392568.282,10.7,95.53
1773392568.365,12.0,96.05
1773392568.458,10.8,95.66
1773392568.560,9.8,95.08
1773392568.642,12.2,95.63
1773392568.724,12.2,95.13
1773392568.820,10.4,95.93
1773392568.912,10.9,95.73
1773392568.996,11.8,95.29
1773392569.077,12.4,95.93
1773392569.158,12.3,95.35
1773392569.241,12.2,95.61
1773392569.324,11.9,95.98
1773392569.407,12.1,95.66
1773392569.486,12.7,95.09
1773392569.561,13.2,95.31
1773392569.656,10.6,94.73
1773392569.740,11.8,96.36
1773392569.840,10.1,95.80
1773392569.922,12.1,95.78
1773392570.006,11.9,95.94
1773392570.084,12.8,96.23
1773392570.161,13.0,95.90
1773392570.239,12.8,95.86
1773392570.316,12.9,95.22
1773392570.394,12.8,96.91
1773392570.505,9.1,95.66
1773392570.608,9.6,95.35
1773392570.716,9.3,95.61
1773392570.826,9.0,95.29
1773392570.897,14.2,94.94
1773392570.968,14.1,95.94
1773392571.065,10.3,95.91
1773392571.161,10.4,95.89
1773392571.239,13.0,96.34
1773392571.356,8.5,95.89
1773392571.461,9.6,95.66
1773392571.542,12.2,96.66
1773392571.620,12.9,96.51
1773392571.696,13.1,96.87
1773392571.772,13.2,96.67
1773392571.849,13.0,96.65
1773392571.933,11.8,96.73
1773392572.012,12.8,96.96
1773392572.085,13.6,96.30
1773392572.159,13.6,96.30
1773392572.233,13.5,96.03
1773392572.307,13.5,96.88
1773392572.381,13.5,96.17
1773392572.454,13.7,96.50
1773392572.527,13.7,96.28
1773392572.599,13.7,96.49
1773392572.696,10.4,97.04
1773392572.783,11.5,96.11
1773392572.869,11.6,96.36
1773392572.944,13.3,96.33
1773392573.027,12.0,96.97
1773392573.113,11.6,96.05
1773392573.190,13.1,97.01
1773392573.283,10.7,96.89
1773392573.360,13.0,96.38
1773392573.435,13.4,96.61
1773392573.508,13.5,95.95
1773392573.585,13.0,97.72
