Timestamp,FPS,Angle
1773392053.066,4.5,140.52
1773392053.292,4.4,158.47
1773392053.515,4.5,167.61
1773392053.739,4.5,173.02
1773392053.963,4.5,173.80
1773392054.186,4.5,170.54
1773392054.410,4.5,161.82
1773392054.648,4.2,137.08
1773392054.873,4.4,82.48
1773392055.085,4.7,61.60
1773392055.300,4.7,65.76
1773392055.508,4.8,67.51
1773392055.728,4.5,72.69
1773392055.941,4.7,75.23
1773392056.166,4.4,78.97
1773392056.395,4.4,81.83
1773392056.622,4.4,85.91
1773392056.860,4.2,87.88
1773392057.100,4.2,94.40
1773392057.342,4.1,98.67
