Timestamp,FPS,Angle
1772693949.154,8.0,88.69
1772693949.257,9.8,89.03
1772693949.375,8.5,89.21
1772693949.491,8.6,88.87
1772693949.621,7.7,92.43
1772693949.738,8.5,92.43
1772693949.844,9.5,92.97
1772693949.962,8.4,92.33
1772693950.090,7.8,92.75
1772693950.205,8.7,91.75
1772693950.318,8.8,91.87
1772693950.422,9.7,91.73
1772693950.549,7.9,87.71
1772693950.678,7.7,88.27
1772693950.793,8.7,88.92
1772693950.922,7.7,88.88
1772693951.041,8.4,86.94
1772693951.160,8.4,86.11
1772693951.287,7.9,85.91
1772693951.418,7.7,86.30
1772693951.542,8.1,86.15
1772693951.666,8.0,86.53
1772693951.787,8.3,86.60
1772693951.923,7.3,88.34
1772693952.057,7.5,91.58
1772693952.189,7.5,87.09
1772693952.312,8.1,88.62
1772693952.437,8.0,87.76
1772693952.560,8.1,86.71
1772693952.676,8.6,87.80
1772693952.794,8.5,87.94
1772693953.036,4.1,88.36
1772693953.164,7.8,89.35
1772693953.282,8.5,90.11
1772693953.413,7.6,87.19
1772693953.554,7.1,88.38
1772693953.695,7.1,92.03
1772693953.816,8.3,96.79
1772693953.945,7.7,102.67
1772693954.050,9.5,118.80
1772693954.199,6.7,127.56
1772693954.324,7.9,143.32
1772693954.450,8.0,154.25
1772693954.598,6.8,160.61
1772693954.722,8.0,166.40
1772693954.857,7.4,171.07
1772693955.005,6.8,174.88
1772693955.158,6.5,177.25
1772693955.322,6.1,177.23
1772693955.460,7.2,175.97
1772693955.605,6.9,171.88
1772693955.731,7.9,167.44
1772693955.889,6.3,162.25
1772693956.012,8.2,149.60
1772693956.128,8.6,135.52
1772693956.245,8.5,123.90
1772693956.367,8.2,101.84
1772693956.485,8.5,91.50
1772693956.606,8.3,85.71
1772693956.730,8.1,76.67
1772693956.876,6.9,75.24
1772693956.990,8.8,76.63
1772693957.108,8.5,76.86
1772693957.225,8.5,80.34
1772693957.355,7.7,83.67
1772693957.473,8.5,87.39
1772693957.593,8.3,93.08
1772693957.718,8.0,102.59
1772693957.841,8.1,118.07
1772693957.955,8.8,133.71
1772693958.061,9.5,145.30
1772693958.176,8.6,154.68
1772693958.306,7.7,160.74
1772693958.428,8.2,165.72
1772693958.556,7.9,170.75
1772693958.684,7.8,172.55
1772693958.842,6.3,175.13
1772693958.958,8.7,174.88
1772693959.078,8.3,174.25
