Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772685392.854,9.8,95.6,108.23,0.835,0.0
1772685392.967,8.9,107.1,109.08,0.848,0.0
1772685393.080,8.9,106.8,108.16,0.921,0.0
1772685393.205,8.0,118.8,106.23,1.924,0.0
1772685393.324,8.4,111.8,107.28,1.044,0.0
1772685393.444,8.3,110.6,103.19,4.088,0.0
1772685393.646,4.9,194.5,101.85,1.342,0.0
1772685393.782,7.3,125.6,99.97,1.881,0.0
1772685393.950,6.0,160.6,99.00,0.971,0.0
1772685394.101,6.6,136.5,103.30,4.300,0.0
1772685394.481,2.6,370.4,103.80,0.510,0.0
1772685394.746,3.8,253.6,104.25,0.449,0.0
1772685394.878,7.6,125.2,99.63,4.621,0.0
1772685394.997,8.3,109.4,100.75,1.118,0.0
1772685395.130,7.5,126.3,102.05,1.302,0.0
1772685395.250,8.3,113.5,101.82,0.233,0.0
1772685395.379,7.8,120.7,102.24,0.419,0.0
1772685395.529,6.7,144.4,102.31,0.072,0.0
1772685395.648,8.4,112.7,102.03,0.283,0.0
1772685395.848,5.0,194.1,107.04,5.009,0.0
1772685395.955,9.4,100.8,107.12,0.087,0.0
1772685396.063,9.3,102.4,108.13,1.002,0.0
1772685396.166,9.7,96.1,107.56,0.562,0.0
1772685396.268,9.8,97.1,106.30,1.266,0.0
1772685396.367,10.1,93.9,108.46,2.164,0.0
1772685396.488,8.3,115.1,108.39,0.073,0.0
1772685396.596,9.2,102.0,110.55,2.166,0.0
1772685396.713,8.6,111.5,110.25,0.306,0.0
1772685396.812,10.1,92.4,110.58,0.332,0.0
1772685396.928,8.7,110.0,109.18,1.398,0.0
1772685397.021,10.7,87.5,109.17,0.011,0.0
1772685397.140,8.4,113.9,110.34,1.169,0.0
1772685397.243,9.7,95.8,111.29,0.952,0.0
1772685397.338,10.5,88.7,110.28,1.010,0.0
1772685397.454,8.7,109.6,110.31,0.027,0.0
1772685397.563,9.1,102.2,109.33,0.981,0.0
1772685397.667,9.6,96.8,110.15,0.824,0.0
1772685397.786,8.4,113.2,108.60,1.548,0.0
1772685397.889,9.7,96.4,110.19,1.583,0.0
1772685397.992,9.7,97.4,108.33,1.861,0.0
1772685398.102,9.1,104.6,109.72,1.392,0.0
1772685398.206,9.7,95.9,110.95,1.230,0.0
1772685398.320,8.7,109.4,110.95,0.003,0.0
1772685398.434,8.8,107.1,111.13,0.176,0.0
1772685398.543,9.2,102.6,110.48,0.644,0.0
1772685398.647,9.7,96.9,112.56,2.080,0.0
1772685398.753,9.4,100.5,110.15,2.412,0.0
1772685398.857,9.6,98.5,109.63,0.519,0.0
1772685398.971,8.8,108.3,110.77,1.139,0.0
1772685399.083,9.0,104.4,111.78,1.009,0.0
1772685399.189,9.4,97.8,110.35,1.429,0.0
1772685399.303,8.8,108.5,111.12,0.765,0.0
1772685399.405,9.8,94.7,107.79,3.330,0.0
1772685399.518,8.9,106.6,108.20,0.411,0.0
1772685399.629,9.0,103.7,103.28,4.918,0.0
1772685399.733,9.7,97.7,102.63,0.645,0.0
1772685399.836,9.7,97.4,103.91,1.277,0.0
1772685399.945,9.2,103.5,104.33,0.420,0.0
1772685400.052,9.3,100.3,103.12,1.206,0.0
1772685400.154,9.8,94.8,103.00,0.129,0.0
1772685400.270,8.6,109.5,103.32,0.323,0.0
1772685400.372,9.8,96.3,104.07,0.750,0.0
1772685400.488,8.7,109.9,103.38,0.691,0.0
1772685400.592,9.6,98.6,103.62,0.243,0.0
1772685400.696,9.6,98.6,105.26,1.640,0.0
1772685400.810,8.7,107.5,106.38,1.117,0.0
1772685400.916,9.5,97.0,105.73,0.647,0.0
1772685401.042,7.9,119.6,104.05,1.678,0.0
1772685401.159,8.5,111.8,105.11,1.060,0.0
1772685401.263,9.7,97.8,105.32,0.206,0.0
1772685401.363,10.0,94.4,103.96,1.360,0.0
1772685401.477,8.7,109.2,104.36,0.404,0.0
1772685401.616,7.2,132.6,103.96,0.405,0.0
1772685401.733,8.5,111.3,102.59,1.370,0.0
1772685401.835,9.8,96.0,101.38,1.204,0.0
1772685401.951,8.6,110.7,101.62,0.233,0.0
1772685402.055,9.6,98.1,101.70,0.084,0.0
1772685402.161,9.4,100.1,98.95,2.750,0.0
1772685402.254,10.8,86.7,99.95,1.006,0.0
1772685402.367,8.8,107.4,102.37,2.412,0.0
1772685402.468,9.8,95.1,100.70,1.670,0.0
1772685402.578,9.1,104.2,100.67,0.030,0.0
1772685402.686,9.3,101.8,102.71,2.044,0.0
1772685402.798,8.9,106.2,101.04,1.674,0.0
1772685402.903,9.5,99.6,102.85,1.817,0.0
1772685403.016,8.9,107.2,103.50,0.645,0.0
1772685403.120,9.6,96.7,102.86,0.639,0.0
1772685403.223,9.6,98.5,102.52,0.342,0.0
1772685403.329,9.5,99.1,102.37,0.149,0.0
1772685403.438,9.1,103.4,103.47,1.101,0.0
1772685403.543,9.6,95.9,104.79,1.318,0.0
1772685403.657,8.7,109.2,103.16,1.628,0.0
1772685403.764,9.3,98.2,103.41,0.255,0.0
1772685403.877,8.9,106.2,103.06,0.352,0.0
1772685403.983,9.4,100.8,102.15,0.914,0.0
1772685404.081,10.1,90.9,105.67,3.518,0.0
1772685404.183,9.9,96.1,103.12,2.547,0.0
1772685404.285,9.8,96.4,105.38,2.262,0.0
1772685404.390,9.6,98.9,104.17,1.210,0.0
1772685404.480,11.1,84.3,103.27,0.903,0.0
1772685404.589,9.2,100.5,102.84,0.430,0.0
1772685404.702,8.8,107.5,102.11,0.725,0.0
1772685404.807,9.6,98.9,102.20,0.091,0.0
1772685404.907,9.9,95.1,102.13,0.072,0.0
1772685405.026,8.4,112.1,105.00,2.863,0.0
1772685405.138,9.0,105.5,104.06,0.933,0.0
1772685405.244,9.5,97.2,103.38,0.684,0.0
1772685405.342,10.2,91.8,102.53,0.844,0.0
1772685405.462,8.4,112.1,102.55,0.017,0.0
1772685405.567,9.5,98.8,102.66,0.112,0.0
1772685405.673,9.4,99.0,103.76,1.096,0.0
1772685405.776,9.7,96.6,102.51,1.247,0.0
1772685405.880,9.6,98.4,102.78,0.272,0.0
1772685405.993,8.8,107.8,102.89,0.110,0.0
1772685406.090,10.4,89.1,103.05,0.157,0.0
1772685406.203,8.8,107.9,104.28,1.224,0.0
1772685406.306,9.7,95.9,105.40,1.128,0.0
1772685406.426,8.3,114.6,104.84,0.563,0.0
1772685406.532,9.5,99.2,101.12,3.724,0.0
1772685406.649,8.6,111.3,100.80,0.314,0.0
1772685406.752,9.7,96.3,100.61,0.191,0.0
1772685406.855,9.7,95.8,101.12,0.509,0.0
1772685406.967,8.9,106.4,100.56,0.561,0.0
1772685407.076,9.2,99.9,101.97,1.412,0.0
1772685407.190,8.8,107.6,109.53,7.561,0.0
1772685407.291,9.9,94.3,120.24,10.709,0.0
1772685407.404,8.8,107.7,125.64,5.395,0.0
1772685407.529,8.0,118.4,138.03,12.391,0.0
1772685407.649,8.3,113.3,147.74,9.714,0.0
1772685407.766,8.5,111.1,156.02,8.278,0.0
1772685407.880,8.8,107.7,157.29,1.272,0.0
1772685407.981,9.9,94.3,0.00,0.000,0.0
1772685408.081,10.0,94.1,0.00,0.000,0.0
1772685408.193,8.9,105.8,0.00,0.000,0.0
1772685408.296,9.7,96.7,0.00,0.000,0.0
1772685408.399,9.7,97.4,0.00,0.000,0.0
1772685408.504,9.5,97.6,0.00,0.000,0.0
1772685408.604,9.9,95.0,0.00,0.000,0.0
1772685408.719,8.7,109.1,0.00,0.000,0.0
1772685408.821,9.8,95.4,0.00,0.000,0.0
1772685408.923,9.9,95.4,0.00,0.000,0.0
1772685409.029,9.4,100.5,158.20,0.908,0.0
1772685409.131,9.8,96.3,161.08,2.875,0.0
1772685409.241,9.0,104.3,158.11,2.961,0.0
