Timestamp,FPS,Inference_ms,Angle,Jitter,CPU_Usage
1772678431.545,9.7,85.3,168.43,1.384,0.0
1772678431.630,11.8,69.2,165.67,2.762,0.0
1772678431.719,11.2,71.8,166.51,0.840,0.0
1772678431.799,12.4,61.2,167.33,0.817,0.0
1772678431.867,14.8,53.2,168.23,0.901,0.0
1772678431.933,15.0,52.9,171.25,3.022,0.0
1772678432.000,15.0,51.5,171.00,0.252,0.0
1772678432.064,15.6,50.6,170.86,0.140,0.0
1772678432.130,15.3,51.9,174.84,3.985,0.0
1772678432.194,15.6,49.7,178.00,3.161,0.0
1772678432.260,15.0,52.4,173.76,4.239,0.0
1772678432.323,15.9,49.5,176.58,2.812,0.0
1772678432.386,15.8,49.1,175.36,1.217,0.0
1772678432.448,16.1,48.8,178.05,2.688,0.0
1772678432.512,15.7,51.2,176.46,1.591,0.0
1772678432.577,15.4,51.9,178.68,2.229,0.0
1772678432.642,15.4,51.5,174.04,4.640,0.0
1772678432.706,15.8,50.1,167.43,6.609,0.0
1772678432.767,16.2,48.4,159.29,8.146,0.0
1772678432.832,15.4,51.5,151.28,8.006,0.0
1772678432.899,14.9,51.9,146.39,4.894,0.0
1772678432.965,15.3,50.8,134.87,11.522,0.0
1772678433.030,15.3,51.2,124.71,10.155,0.0
1772678433.096,15.1,52.3,101.17,23.548,0.0
1772678433.161,15.4,51.6,89.32,11.845,0.0
1772678433.229,14.8,52.8,83.68,5.643,0.0
1772678433.295,15.0,52.3,104.22,20.544,0.0
1772678433.376,12.3,66.4,84.17,20.056,0.0
1772678433.462,11.7,69.3,84.17,0.005,0.0
1772678433.538,13.1,58.8,105.48,21.314,0.0
1772678433.601,15.9,49.9,82.95,22.539,0.0
1772678433.663,16.1,49.5,84.81,1.863,0.0
1772678433.734,14.0,51.0,88.76,3.954,0.0
1772678433.795,16.6,47.5,88.71,0.051,0.0
1772678433.864,14.5,54.7,90.02,1.307,0.0
1772678433.926,16.1,48.9,94.91,4.892,0.0
1772678433.990,15.7,49.3,102.83,7.917,0.0
1772678434.078,11.3,71.2,107.41,4.586,0.0
1772678434.145,15.0,53.9,109.43,2.011,0.0
1772678434.208,15.7,50.6,115.73,6.300,0.0
1772678434.272,15.6,50.6,118.46,2.730,0.0
1772678434.335,15.9,49.1,116.68,1.779,0.0
1772678434.426,11.0,73.8,116.08,0.597,0.0
1772678434.502,13.2,60.9,120.15,4.071,0.0
1772678434.581,12.7,62.3,122.33,2.174,0.0
1772678434.659,12.7,63.2,120.33,1.997,0.0
1772678434.742,12.1,65.9,113.25,7.077,0.0
1772678434.822,12.5,64.4,118.30,5.047,0.0
1772678434.900,12.8,60.4,109.56,8.743,0.0
1772678434.969,14.6,51.8,105.63,3.921,0.0
1772678435.030,16.5,47.3,104.10,1.535,0.0
1772678435.118,11.4,70.2,102.06,2.042,0.0
1772678435.183,15.3,51.9,101.60,0.458,0.0
1772678435.247,15.5,51.2,99.13,2.465,0.0
1772678435.315,14.9,53.5,95.33,3.802,0.0
1772678435.378,15.8,49.7,97.60,2.272,0.0
1772678435.445,14.9,53.9,96.70,0.900,0.0
1772678435.509,15.5,51.5,94.85,1.857,0.0
1772678435.571,16.3,48.4,100.89,6.047,0.0
1772678435.662,10.9,75.4,97.08,3.809,0.0
1772678435.751,11.2,71.5,100.75,3.662,0.0
1772678435.824,13.9,59.4,104.77,4.024,0.0
1772678435.886,16.1,49.3,101.51,3.261,0.0
1772678435.950,15.6,51.5,100.65,0.854,0.0
1772678436.014,15.6,50.1,101.12,0.465,0.0
1772678436.075,16.5,47.3,100.70,0.423,0.0
1772678436.136,16.3,48.1,96.56,4.133,0.0
1772678436.199,15.9,50.0,94.47,2.096,0.0
1772678436.264,15.4,50.5,99.39,4.922,0.0
1772678436.335,14.1,56.5,99.36,0.025,0.0
1772678436.398,15.7,50.1,104.67,5.304,0.0
1772678436.460,16.2,48.6,102.95,1.715,0.0
1772678436.524,15.5,50.9,103.52,0.565,0.0
1772678436.588,15.6,50.0,99.93,3.585,0.0
1772678436.650,16.3,47.3,101.07,1.136,0.0
1772678436.712,16.2,48.7,96.90,4.175,0.0
1772678436.777,15.2,51.8,100.51,3.614,0.0
1772678436.844,15.0,53.1,98.78,1.729,0.0
1772678436.908,15.7,49.8,101.03,2.246,0.0
1772678436.969,16.3,48.5,108.46,7.438,0.0
1772678437.032,15.9,49.6,109.00,0.537,0.0
1772678437.092,16.5,47.2,94.56,14.436,0.0
